YAW, real_orientation
-135.9578155295122,-141.12424112619894
-141.16594321133041,-141.10823721685912
-141.34294371922897,-141.1086018678179
-141.26482918135352,-141.10904559392574
-141.47099426113232,-141.1093190552554
-141.32631654112026,-141.1096231820185
-141.10772518445847,-141.1101415533818
-141.20109651094236,-141.11060439354398
-141.1481934353626,-141.11188880614108
-140.1794261768183,-141.11214659264346
-141.18976361811437,-141.1124235594359
-141.27636960148914,-141.11273770120908
-141.19060467329007,-141.11287580906333
-141.1774357557188,-141.11445103064548
-134.9268229584786,-130.19047316526468
-128.6325351288039,-124.2471818321635
-70.27222429993384,-63.369157442585816
-64.13516421813681,-59.65471595233087
-59.166995349835695,-55.19707013370724
-53.38068917445113,-49.25366198014455
-48.46948786537418,-44.79124787099877
-21.174316091500387,-15.8173692438287
-15.404456807929181,-10.616985401834924
-10.194973637883173,-5.416643757293956
-4.559802633437229,-0.21622375871107494
23.848149189596516,31.971700486498282
30.81006652696459,35.34218607213389
36.63801703072168,41.41293778233089
41.32004552817635,46.54608369467601
46.993283812826746,41.341953193619716
41.8369840995153,35.5154345660205
-49.542455556770975,-56.33501970074148
-55.807407319027696,-62.24287857573564
-60.92448040999335,-68.1505103353347
-68.15955679954801,-72.37032709107102
-73.63454801498888,-78.278154390707
-79.31092430406582,-85.02981873340359
-86.50284955545094,-91.78161840400577
-91.66747619701214,-97.68939794565236
-98.28708706100889,-103.59729012808695
-103.43731042756741,-111.19315705779658
-110.48297234716911,-114.56899409485112
-157.76023544082977,-157.4505973585673
-158.29407627733517,-157.45451561250457
-158.28523040667122,-157.45578927282216
-157.96462226383366,-157.45558874933369
-157.09887119258886,-157.45540872839172
-157.73852419653068,-157.4519741768558
-157.60713748759528,-157.44984969466844
-157.77586921411196,-157.44768471688658
-157.80511393161413,-157.43400924321057
-157.66714235083086,-157.43479783973314
-157.83252565494317,-157.43657520994685
-157.71044678279443,-157.43686040679228
-157.8483697976615,-157.43783531889147
-157.4576961851125,-157.43811579569908
-158.07265931857978,-157.43788457200742
-157.8696941070867,-157.43848480211
-165.96026041174494,-170.70891463809838
-172.0051303179437,-176.61660262703717
-177.3337948695808,176.6314687984338
177.594277725009,175.26212998920963
175.7501605322206,175.26160980105558
175.6750752814852,175.2609120535319
175.05554338735465,175.32060266302133
174.80180461316857,169.90919715864115
168.51931722524466,163.15722679603238
162.4045437334076,156.40536950817778
156.5609021104343,150.49754135220397
150.77472825537,144.58957884937357
145.5738480694289,139.52583231193896
139.78824927045443,132.77565515795126
133.89598457577134,129.39968619442215
127.49577230871004,122.64781054069432
121.33019298598114,117.58405680541833
115.30039404456512,111.67623412299534
49.47434865215609,43.253070728911865
42.89707793775009,36.324507721690665
37.55435785080625,32.10495386017927
31.056387432374866,23.69121056643893
24.635468123506477,18.627418520086184
18.10884836608323,14.512196133932918
14.512838837989664,14.544666884944508
14.24197677615882,14.544198975963125
14.344285862470567,14.54447161990322
14.250203318502109,14.544560057038552
-8.349776282787449,-3.103803553062606
-3.884998139124655,2.2086431453154987
2.1683739544146787,8.942390369766041
7.867176470042111,12.304368182485433
13.351208902473326,19.04477581037094
20.023863153858123,24.0955191403294
25.810688066456184,29.998733306311994
3.8107579748644773,-0.5717505698691616
-0.0,-7.601618877825244
-6.758100696454371,-10.945690138704956
-12.001191943160709,-17.697612840882364
-17.9803556226308,-26.137296883530485
-25.2053327816431,-30.357026116720196
-2.4417015746895085,2.6241398998980814
3.7649097213922973,10.219035297724945
10.12818152344203,16.126036503300377
16.499458709150122,22.03302825960481
23.025411943603256,27.9016728286161
27.60974698296612,30.33058222357416
30.02902207376779,30.32886334503984
30.49231724809562,30.32739849837958
30.050872790501543,30.33502381856671
29.49600047932895,30.338717502251097
29.654706978963606,30.341475021210943
29.109587247433144,30.344548028582654
29.91703466654086,30.345265734899574
30.13250316723524,27.34349065440282
27.72407279761267,24.318204553288194
22.144212076468573,16.732061276081918
