a,b,c,d,error
0.844815691765945,-0.6763043741678652,0.7246626008630214,-0.41665252686292864,0.2861046086004074
0.80520770794752,-0.6360911818258977,0.7331482681444961,-0.4358396395612538,0.21282209247184394
0.7828950667801589,-0.5939677155705857,0.7393133173391988,-0.4559030974771213,0.14477985928169979
0.7929892144867845,-0.5387163309632832,0.7431980161862772,-0.4732205680367882,0.08227307208026254
0.7617286225519218,-0.5020695826863422,0.7446796202051686,-0.48890201392781296,0.02154189750300997
0.7424449638089273,-0.44736442606203564,0.744671402472316,-0.5072696269938202,0.05994656060024887
0.7400129544042078,-0.4034522288531463,0.7423475385341565,-0.5281146337591365,0.12468426316101344
0.7412589720302769,-0.36599015940523083,0.7390016558510248,-0.543490414210407,0.17751460765873772
0.727885694009575,-0.3133508102797311,0.7304649454961063,-0.5682698659725872,0.2549321036934506
0.7393169799479757,-0.2651995733102227,0.7271928506772474,-0.5754269848805496,0.310464235299653
0.2997400276917884,-0.6693890898664477,0.5658317018747737,-0.6766250478009992,0.26619004143043107
0.3476366750743428,-0.6725930582531833,0.5501191835133379,-0.6758146231691513,0.20250813490883646
0.3949106952461023,-0.660023982961167,0.5319677010358547,-0.6731003165034745,0.1376793860204275
0.4487721944189001,-0.6722488531025582,0.5141892641405459,-0.6685317257033917,0.0655225918830162
0.5044242455531904,-0.6701928870422301,0.48728610269868694,-0.7140533274133424,0.04708985209203
0.553508070014582,-0.7031748069588275,0.4698136726808705,-0.7698806874543946,0.10702535511616891
0.5323181463545368,-0.7698931433407513,0.4494583666307906,-0.8349917890794141,0.10537351077417728
0.5080540132262031,-0.8461295007694035,0.42618055023251666,-0.9094091778112741,0.10347744425285149
0.483576917758886,-0.9223043053666038,0.40580687182184727,-0.9745503314926787,0.0936900597236207
0.4712099806918405,-0.9708076383256463,0.38834873337298775,-1.0303662880390683,0.10204518147821669
0.44312915305509404,-1.0563341510422526,0.3679803237459873,-1.0954807071484163,0.0847336969658605
0.42629843142436624,-1.1139279807102336,0.33887062297664383,-1.1885372581391505,0.11493548611476234
0.578987063187905,-1.437804632524094,0.2544698363232795,-1.4583270967999657,0.3251654995104205
0.5645691619061857,-1.4647271808231845,0.2370084921054351,-1.5141394747708279,0.33126661044162703
0.5472642765587815,-1.532652984550432,0.2195440581101367,-1.5699607725581082,0.32983694854587353
0.5410728827189942,-1.5726846109003878,0.19044087390204745,-1.6629850733586733,0.36207316819558405
0.6000017911495373,-2.001466075112807,0.6685827012681037,-2.133143151844718,0.1484661367765476
0.6612827460159223,-2.037198390554627,0.7464237718911751,-2.1279522106369666,0.12443974504404996
0.7112971829077641,-2.0356308372917686,0.8144945307727719,-2.123404410959704,0.13547653981709115
0.7908919380024492,-2.0270294951600647,0.8825693061207736,-2.1188613498566964,0.1297606618437423
0.8609044063180062,-2.024782621843867,0.9311952408365252,-2.115616303773671,0.11485451314700068
0.9304724558186814,-2.015965679678212,1.0090406484585392,-2.1104273233988686,0.1228656299747903
1.0103266122201746,-2.0111357966991084,1.0965730295757892,-2.1046002613754955,0.1271772411397671
1.0701841472395397,-2.0069169626335857,1.193833825762711,-2.0981137956508467,0.1536427848981585
1.461224979560341,-2.0363521299272143,1.5440040029503288,-2.0747279341567166,0.0912418164202207
1.5407581498158682,-2.0263992999804055,1.6023495703431698,-2.070829696226845,0.07594447440852116
1.6009026986094907,-2.0268578484397595,1.6801700486628182,-2.0656306654882477,0.08824196352276101
1.6707027933968837,-2.0215255597693638,1.7677142599719624,-2.0597814929107576,0.10428202657968638
1.7604450948321118,-2.0146098394927536,1.816312981204508,-2.056533553857954,0.06984854009851528
1.8203300072230157,-2.01089466362576,1.894145449899197,-2.051334966745028,0.08416731963095209
1.9002118307555977,-2.0065054806779012,1.9525041874866906,-2.047438363499923,0.06640776662871031
1.8636054513449227,-1.649773862176514,2.1999268871725746,-1.5859752983495976,0.34231909812855965
