a,b,c,d,e,f,phi,error
-0.8017662806128858,-2.138664001934615,156.8651885986328,-0.7768185787356544,-2.096275610364644,164.05560365456301,-8.32319164276123,0.04918499332971798
-0.7921417823659068,-2.1110507580078517,163.65045166015625,-0.7778285191447437,-2.0920008590677903,169.1189451483465,-2.3642938137054443,0.023827886051113554
-0.7856016246964443,-2.0828008455705986,170.396728515625,-0.7800472332722971,-2.085799267653861,177.55764739869957,3.5857584476470947,0.006312036048854307
-0.7930265148279632,-2.0614804943016574,175.4523468017578,-0.7814907641334117,-2.0819460812310924,-177.62881717236525,8.785179138183594,0.023492845558874004
-0.7724151164554433,-2.039658128141268,-178.3477325439453,-0.7818474382622086,-2.077363142785921,-171.70078948298044,14.328332901000977,0.03886691168616144
-0.7927682935177887,-2.011065708420616,-172.98402404785156,-0.8240849638154717,-2.082521991204226,-169.09723580588206,18.638931274414062,0.07801752487604988
-0.8139453611493441,-1.9893829441570072,-169.25546264648438,-0.9007044283891545,-2.0972562786832865,-169.11441281932935,21.223575592041016,0.13843334876445232
-1.21007401931795,-2.2245475517050424,-179.97596740722656,-1.2315002048543244,-2.1535197620704962,174.28013212770617,21.63262176513672,0.07418913887496256
-1.2432802245376942,-2.1905718910163348,173.05711364746094,-1.2874272722293199,-2.1498287495221926,167.5283160245958,10.047718048095703,0.0600746651983876
-1.3133863269539803,-2.14987361328267,167.12835693359375,-1.3560956325884277,-2.13602306983276,159.08827165557994,-0.8174231648445129,0.04489902383832514
-1.364809821736167,-2.1389891846116735,160.5765380859375,-1.3960616907914063,-2.122942561711398,154.02426078991243,-10.742762565612793,0.03513080451611476
-1.421836759763936,-2.14221939529506,154.42176818847656,-1.4297710973154572,-2.108789186327235,149.6306464718472,-18.62100601196289,0.034358879260155115
-1.4392360240003597,-2.151129645602535,149.97244262695312,-1.432535974074171,-2.1029820722403016,154.31006581233402,-23.877540588378906,0.04861151601920134
-1.458437868403367,-2.131160856673552,156.39988708496094,-1.4332044230273537,-2.095700780687913,163.59321591595472,-16.510337829589844,0.04352176184912034
-1.4499794120777378,-2.112013573857659,163.34373474121094,-1.4347130140160183,-2.0892935530316885,170.3441346401643,-8.51417064666748,0.027372655262348996
-1.4359750640670597,-2.0998367590660227,169.71958923339844,-1.4367626541366922,-2.0838116446837054,177.09514283819308,-0.3970106244087219,0.016044456646584774
-1.4446927366274513,-2.0837400065058778,176.06838989257812,-1.4383695631490698,-2.0805189799417834,-178.68615185222774,7.6851372718811035,0.007096304317340764
-1.4554734204468538,-2.0603723527227253,-176.9939422607422,-1.4422031145113825,-2.0743686984158343,-170.26775194425744,15.618306159973145,0.01928726814201569
-1.4402944551713253,-2.0456213933870604,-170.3740997314453,-1.4953925312237308,-2.0837009675229146,-166.89750168805517,23.322994232177734,0.06697650297712386
-1.4920935571074194,-2.0271776877731065,-167.51165771484375,-1.5638292217524696,-2.100996496149982,-170.03065281403627,27.03594970703125,0.10293309502899907
-1.5199537587694625,-2.021262958076921,-168.4042510986328,-1.611594010124211,-2.1121703368545606,-175.0944773295259,25.754846572875977,0.12908170739722463
-1.5758782482055123,-2.0397656325835736,-175.4756622314453,-1.6602516046532478,-2.1183763412908307,178.99750193065552,20.370136260986328,0.11531915192939064
-1.6343737126516562,-2.0515389013846814,178.4649200439453,-1.7092889669352285,-2.1195449046492665,173.08945210019365,16.151071548461914,0.10117861337454198
-1.6661014653418904,-2.069794974772869,172.35400390625,-1.7720552810624999,-2.113626241289845,164.64930143135192,11.901968955993652,0.11466207302433988
-2.122865401198261,-1.8043053454200204,105.42208862304688,-2.157598692986083,-1.7600737320174642,98.81765324088886,40.479026794433594,0.05623910723518978
-2.1238838199496084,-1.7766032592801717,98.86318969726562,-2.1660572196137826,-1.7188830951670215,93.75355124933266,32.796302795410156,0.07148575371696908
-2.1280281344219976,-1.7241963331527224,91.58438873291016,-2.1718638556592573,-1.6561018465499804,86.15774944241531,25.57777214050293,0.08098413154490053
-2.121471112019342,-1.6605665146372768,85.3843765258789,-2.169319694267908,-1.5931011601055816,78.5618015141593,18.85261344909668,0.08271070598952174
-2.1257118280612817,-1.6009401039220328,78.62496948242188,-2.1600808337820547,-1.5378181922243301,70.96584936661024,12.757503509521484,0.07187213848639194
