distanza_calcolata,distanza_reale,errore,tag_center_x,tag_center_y
0.63,0.44,0.19,453,110
0.64,0.44,0.2,414,104
0.65,0.44,0.21,375,99
0.65,0.44,0.21,336,96
0.66,0.44,0.22,297,96
0.65,0.45,0.2,258,98
0.63,0.45,0.18,219,101
0.6,0.46,0.14,171,109
0.59,0.47,0.12,133,117
0.58,0.48,0.1,93,128
0.57,0.48,0.09,51,141
0.46,0.38,0.08,33,218
0.48,0.37,0.11,72,203
0.49,0.37,0.12,105,190
0.49,0.36,0.13,132,181
0.5,0.36,0.14,159,173
0.52,0.36,0.16,185,167
0.53,0.36,0.17,211,161
0.54,0.36,0.18,243,156
0.55,0.36,0.19,275,153
0.55,0.36,0.19,307,151
0.54,0.36,0.18,339,150
0.52,0.36,0.16,377,152
0.5,0.37,0.13,410,156
0.49,0.37,0.12,442,161
0.48,0.37,0.11,481,169
0.45,0.32,0.13,507,181
0.39,0.28,0.11,525,220
0.33,0.26,0.07,535,263
0.28,0.22,0.06,547,311
0.26,0.21,0.05,560,364
0.26,0.2,0.06,574,424
0.38,0.31,0.07,24,306
0.38,0.29,0.09,52,290
0.36,0.26,0.1,74,286
0.33,0.23,0.1,71,328
0.3,0.22,0.08,57,383
0.3,0.22,0.08,44,433
0.62,0.5,0.12,595,122
0.63,0.49,0.14,552,108
0.65,0.45,0.2,503,96
0.6,0.39,0.21,485,115
0.54,0.35,0.19,492,148
0.46,0.32,0.14,501,183
0.41,0.27,0.14,510,223
0.35,0.24,0.11,519,266
0.31,0.22,0.09,530,314
0.28,0.2,0.08,539,357
0.28,0.19,0.09,552,416
0.75,0.58,0.17,40,70
0.77,0.59,0.18,85,57
0.76,0.6,0.16,80,59
0.73,0.6,0.13,35,72
0.62,0.49,0.13,27,134
0.63,0.48,0.15,69,119
0.64,0.48,0.16,111,107
0.65,0.47,0.18,144,100
0.68,0.47,0.21,185,92
0.69,0.47,0.22,222,86
0.7,0.47,0.23,257,82
0.7,0.47,0.23,292,80
0.69,0.47,0.22,331,80
0.69,0.47,0.22,371,82
0.66,0.47,0.19,411,86
0.65,0.48,0.17,443,91
0.63,0.48,0.15,483,99
0.62,0.48,0.14,516,108
0.59,0.49,0.1,549,117
0.59,0.5,0.09,588,130
0.24,0.15,0.09,523,450
0.19,0.14,0.05,497,435
0.19,0.13,0.06,472,420
0.17,0.12,0.05,453,412
0.17,0.12,0.05,428,401
0.14,0.11,0.03,398,392
0.14,0.1,0.04,372,385
