YAW,real_orientation
52.34322024798111,60.78021634270133
56.870631514807855,66.68739036045197
60.769383581623465,74.28228696004177
65.53403549764148,80.18925208989903
72.14559206680708,86.94021051308141
128.53296359074713,127.44594920391279
133.60714461368994,134.19714012381354
138.70878834434978,140.26805216025605
142.10622030697567,147.56238924080245
147.3938707387891,152.6257419887637
153.3561324983227,159.376596360166
159.55427492317295,166.971639809979
166.75144097792557,172.87878583486088
173.7391321613356,-179.5263226563185
-180.0,-173.6191688413342
-154.70540949301653,-153.36645166743972
-148.46464327031762,-147.4592308852429
-141.57076084785783,-139.86442992100075
-136.78605292435145,-133.113374453787
-130.90685826666498,-128.05033090696986
-126.61933288835235,-121.29919630108374
-122.6444652915962,-112.86051849873996
-117.81351685440264,-107.256336776818
-114.56747622376605,-106.24218335233712
-115.15529701816274,-106.2425974693822
-108.05916635299532,-106.24679855670945
-107.83362142944883,-106.24982145986604
-108.34571016503136,-106.2532477324193
-107.58804801529115,-106.25672620475649
-108.73158251205855,-106.26063431685544
-108.47332426758119,-106.2632292599555
-108.34490483655294,-106.26733584186262
-99.99084708740357,-106.2686840318045
-100.44713135319893,-106.26704747750459
-99.05104742291519,-106.26749094332851
-98.28346455425294,-106.26799308057612
-97.8166532197969,-106.26852246508612
-97.413134281597,-106.26885962872002
-96.81388255650994,-106.26930925292561
-95.61632667874314,-106.26950526792206
-167.45978368145984,-169.47255071897058
-180.0,-175.3801574694424
-180.0,177.02500741824184
175.16554625967893,169.42919207814236
168.43375760995013,162.6775388169532
162.52239753534766,156.76971625150696
156.22470022517,149.17397837586256
151.12271372652458,143.26621525249644
146.94856071110013,137.3582035905609
141.85927548914884,130.0619615594345
62.63839115407931,64.98301661960511
56.74232555156532,58.90854307820184
51.8651741960543,52.1789820054203
46.67958837378066,44.583014617702034
42.05049055135314,39.90318995889107
37.169002058721915,34.04756895404908
31.995386472422386,26.512827214539506
25.826348373910765,20.604934398564694
20.19762340230308,14.711540579031016
14.162174168852504,16.843751595358253
59.648091661610934,75.56354187726262
95.55053743360696,88.19314133147431
98.46775073131515,93.39339662241882
101.59152038726708,100.07955797843482
105.96285552742403,105.27989517486323
109.63818183892529,110.48024836009768
113.89772325098888,116.42351868362226
160.02432624116366,161.09068290744636
164.74087405903504,165.5480860695175
169.2709413678075,172.97716100088047
-180.0,178.17750167622717
-179.91810720582419,-176.62212180462745
-175.7369961404047,-172.16466227480348
-171.05920917383364,-165.81680921884526
-165.7220998710721,-159.09257307462917
-161.27985215135598,-153.45009872370989
-156.67630602220336,-148.38675315671296
-151.91742371769118,-141.63572953663038
-147.80463009311106,-135.7286176168741
-75.10365288712953,-74.45586322436866
-69.51361499085822,-68.50399773681883
-65.75952821517356,-61.81779990687902
-62.23315671536411,-56.61736299682354
-57.82002649153815,-50.67402454108524
-53.62371607417551,-44.680565623177934
-48.91094403810877,-37.25149948064071
-43.67653025575823,-32.7938969673976
-14.464478145964216,-8.277828261426082
-8.78397197022399,-3.8203616819845783
-1.8009237962101834,2.8659420375484617
2.4375012885018243,8.066317829473771
24.89081139877368,26.639253251275267
31.471646115251357,31.09660261994899
36.429220535616665,37.03991654281342
41.46636701506612,41.49747067698125
46.181460840925006,47.44083979500091
51.74586892355236,53.39422779210742
55.7900724368936,58.59847828566487
60.36403999989011,63.79889223801891
90.03817966037502,99.46187896179521
93.08454683991677,101.15596076180474
92.43197032635106,101.15569235242927
92.0161975495451,101.15531567614651
91.04816933639823,101.1547526237604
89.98559162107885,101.15426850332153
89.63264636897006,101.15392209640063
86.27456671778354,101.15213304319757
86.1418267383187,101.15144718040978
84.88785185639787,101.14990690465376
84.16421922997296,101.15036738356292
110.48337560635703,101.16209191781014
110.37916059714351,101.16365822585371
110.88242696094464,101.16126819726854
105.26212024464706,101.14047320105313
105.28908771030217,101.14317453784822
105.87268474706246,101.14936116695202
106.95681994313355,101.15216231371436
106.28415644719207,101.15198671361094
107.56764803990743,101.15413576023904
108.06286451823513,101.15428885125529
163.59896896124718,160.02658168462204
164.25743060926416,162.97943613155888
-180.0,168.17988696971202
-180.0,173.3802119794252
-180.0,179.32369663048047
-180.0,-175.47591654258306
-174.24055475460656,-173.77757418992303
-173.24081053374576,-173.7776537210336
-172.9160975279876,-173.77758324322755
-173.88114339003835,-173.76838756860076
-174.0096166580969,-173.76771572554895
-173.55097434175914,-173.76644700123094
-173.97840022035805,-173.763927125741
-173.62672078963573,-173.7634716386573
-173.4448198558061,-173.7681213904128
-173.42638216020467,-173.76744747400173
